Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_beats,N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context
151,EAC,Budongo,Sonso,Individual 55,14.12.19,0.11788,2,1,0.117883,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Resting,Resting,Resting
152,EAC,Budongo,Sonso,Individual 48,14.12.19,0.09132,2,1,0.091317,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Resting,Resting,Resting
153,EAC,Budongo,Sonso,Individual 55,14.12.19,0.15275,2,1,0.152749,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Resting,Resting,Resting
155,EAC,Budongo,Sonso,Individual 48,19.12.19,0.18596,3,2,0.109581,0.076375,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
156,EAC,Budongo,Sonso,Individual 47,23.12.19,1.21867,5,4,0.069733,0.650845,0.391835,0.10626,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Feeding,Resting,Resting
158,EAC,Budongo,Sonso,Individual 47,23.12.19,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
159,EAC,Budongo,Sonso,Individual 48,27.12.19,0.09298,2,1,0.092978,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling
160,EAC,Budongo,Sonso,Individual 52,27.12.19,0.32542,2,1,0.325422,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Resting,Traveling
161,EAC,Budongo,Sonso,Individual 48,27.12.19,0.08472,2,1,0.084723,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
162,EAC,Budongo,Sonso,Individual 48,27.12.19,0.07305,2,1,0.073054,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
163,EAC,Budongo,Sonso,Individual 52,27.12.19,0.08634,2,1,0.086337,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
164,EAC,Budongo,Sonso,Individual 49,27.12.19,0.80027,5,4,0.122864,0.488133,0.10294,0.086337,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling
165,EAC,Budongo,Sonso,Individual 48,27.12.19,0.0797,2,1,0.079695,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
166,EAC,Budongo,Sonso,Individual 48,27.12.19,0.08302,2,1,0.083016,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Resting,Traveling
167,EAC,Budongo,Sonso,Individual 48,27.12.19,0.0797,2,1,0.079695,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling
172,EAC,Budongo,Sonso,Individual 48,30.12.19,0.1129,2,1,0.112902,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Traveling,Traveling,Traveling
173,EAC,Budongo,Sonso,Individual 48,04.01.20,1.07589,4,3,0.282254,0.089657,0.703975,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Resting,Resting,Resting
174,EAC,Budongo,Sonso,Individual 47,04.01.20,0.06309,2,1,0.063092,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
175,EAC,Budongo,Sonso,Individual 48,06.03.19,2.76277,9,8,0.162711,0.192597,0.10626,0.252368,0.47153,0.710616,0.092978,0.773708,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
177,EAC,Budongo,Sonso,Individual 55,06.01.20,0.29554,4,3,0.072224,0.114562,0.108751,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Traveling,Traveling,Traveling
178,EAC,Budongo,Sonso,Individual 55,06.01.20,0.06226,2,1,0.062262,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling
185,EAC,Budongo,Sonso,Individual 48,10.01.20,0.05728,2,1,0.057281,,,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,Resting,Resting,Resting
186,EAC,Budongo,Sonso,Individual 49,10.01.20,1.55406,4,3,0.073054,1.20207,0.278933,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
187,EAC,Budongo,Sonso,Individual 49,10.01.20,0.75711,4,3,0.078035,0.405118,0.273952,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,Resting,Resting,Resting
188,EAC,Budongo,Sonso,Individual 49,10.01.20,0.1926,2,1,0.192597,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting
189,EAC,Budongo,Sonso,Individual 49,10.01.20,0.16603,2,1,0.166032,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Resting,Resting,Resting
