Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code
14,Eastern,Population A,Community I,Individual 7,13.11.18,1.45361,6,With,Unk,Let-Down,0,3,Traveling,Traveling,Traveling,SonsoZD,5,0.081545,81.545,Population A (Community I),Community I (Individual 7)
14,Eastern,Population A,Community I,Individual 7,13.11.18,1.45361,6,With,Unk,Let-Down,0,3,Traveling,Traveling,Traveling,SonsoZD,4,0.582771,582.7710000000001,Population A (Community I),Community I (Individual 7)
15,Eastern,Population A,Community I,Individual 7,13.11.18,0.09427,2,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoZD,1,0.094266,94.266,Population A (Community I),Community I (Individual 7)
16,Eastern,Population A,Community I,Individual 7,13.11.18,1.38739,6,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZD,5,0.067285,67.285,Population A (Community I),Community I (Individual 7)
16,Eastern,Population A,Community I,Individual 7,13.11.18,1.38739,6,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZD,4,0.467319,467.31899999999996,Population A (Community I),Community I (Individual 7)
16,Eastern,Population A,Community I,Individual 7,13.11.18,1.38739,6,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZD,3,0.112317,112.31700000000001,Population A (Community I),Community I (Individual 7)
16,Eastern,Population A,Community I,Individual 7,13.11.18,1.38739,6,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZD,2,0.677913,677.913,Population A (Community I),Community I (Individual 7)
16,Eastern,Population A,Community I,Individual 7,13.11.18,1.38739,6,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZD,1,0.06247,62.47,Population A (Community I),Community I (Individual 7)
17,Eastern,Population A,Community I,Individual 7,13.11.18,0.89854,4,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoZD,2,0.778196,778.196,Population A (Community I),Community I (Individual 7)
17,Eastern,Population A,Community I,Individual 7,13.11.18,0.89854,4,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoZD,3,0.070198,70.198,Population A (Community I),Community I (Individual 7)
17,Eastern,Population A,Community I,Individual 7,13.11.18,0.89854,4,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoZD,1,0.050142,50.141999999999996,Population A (Community I),Community I (Individual 7)
18,Eastern,Population A,Community I,Individual 7,13.11.18,0.84577,3,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZD,1,0.111705,111.705,Population A (Community I),Community I (Individual 7)
18,Eastern,Population A,Community I,Individual 7,13.11.18,0.84577,3,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoZD,2,0.734065,734.0649999999999,Population A (Community I),Community I (Individual 7)
19,Eastern,Population A,Community I,Individual 7,13.11.18,0.70614,4,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoZD,2,0.574485,574.485,Population A (Community I),Community I (Individual 7)
19,Eastern,Population A,Community I,Individual 7,13.11.18,0.70614,4,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoZD,1,0.053567,53.56699999999999,Population A (Community I),Community I (Individual 7)
19,Eastern,Population A,Community I,Individual 7,13.11.18,0.70614,4,With,Let-Down,Let-Down,3,3,Traveling,Traveling,Traveling,SonsoZD,3,0.078086,78.086,Population A (Community I),Community I (Individual 7)
20,Eastern,Population A,Community I,Individual 7,13.11.18,0.48537,3,With,Climax,Let-Down,2,3,Traveling,AFT,AFT,SonsoZD,1,0.102289,102.289,Population A (Community I),Community I (Individual 7)
