Population,Community,Individual,Pop_com_code,Com_indiv_code,Drumming_bout,Ratio_i,Ratio,Subspecies,Days_before_2024
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,3,0.23684064540670768,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,4,0.7435890506158063,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,5,0.26315831183703225,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,6,0.6511634421780618,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,7,0.21428556063920634,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,8,0.1971326261593219,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,9,0.8389511735712433,Eastern,1439.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),226,10,0.3049646526131437,Eastern,1439.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),235,1,0.19733250745306583,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),235,2,0.7272725198711455,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),235,3,0.4645161541017177,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),235,4,0.436842330497796,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),235,5,0.30484332195380176,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),237,1,0.07916657517229697,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),237,2,0.4977478394044339,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),238,1,0.12431156214958274,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),238,2,0.37261162226743694,Eastern,1433.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),238,3,0.9162789687878404,Eastern,1433.0
Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),245,1,0.09917333774684449,Eastern,1404.0
Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),246,1,0.6578937983666774,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),249,1,0.6969684525602067,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),249,2,0.057471522982811246,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),249,3,0.8961749353273785,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),250,1,0.31681309531846225,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),250,2,0.14382042697926417,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),251,1,0.19298273420824613,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),251,2,0.6865663591518434,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),251,3,0.42000036137612035,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),251,4,0.7631593545932923,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),251,5,0.1199991969403427,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),251,6,0.6164070904731436,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),251,7,0.49484511769241235,Eastern,1404.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),267,1,0.5102052104651806,Eastern,1389.0
