,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
46,47,EAC,Budongo,Sonso,ZD,07.06.19,2567 ZD single ph drum traveling (beh data-traveling).WAV,0.07305,0.07305,0.07305,0.0,2,1,1,0,0.073054,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,Traveling,Traveling,Traveling,NV,NV
47,48,EAC,Budongo,Sonso,ZD,07.06.19,2568 ZD single ph drum traveling (beh data-traveling).WAV,0.04981,0.04981,0.04981,0.0,2,1,1,0,0.04981,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,Traveling,Traveling,Traveling,NV,NV
48,49,EAC,Budongo,Sonso,ZD,07.06.19,2570 ZD single ph drum traveling (beh data-traveling).WAV,0.78367,0.78367,0.78367,0.0,3,2,2,0,0.089657,0.694013,,,,,,,,,,,,,,,,,,,,,,,,,With,Pause,Climax,1,2,Pause BuildUp-Climax,Traveling,Traveling,Traveling,NV,NV
49,50,EAC,Budongo,Sonso,PS,26.06.19,2822 PS single ph drum (beh data-traveling).WAV,0.42836,0.42836,0.42836,0.0,4,3,3,0,0.087167,0.278933,0.062262,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,Traveling,Resting,Traveling,NV,NV
50,51,EAC,Budongo,Sonso,HW,14.07.19,"3080 HW single ph drum traveling, 2;00 HW single ph drum traveling-resting, 5;20 HW single ph drum traveling-resting.WAV",1.74665,1.74665,1.74665,0.0,5,4,4,0,0.082644,0.571149,0.063092,1.029768,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV
51,52,EAC,Budongo,Sonso,HW,14.07.19,"3080 HW single ph drum traveling, 2;00 HW single ph drum traveling-resting, 5;20 HW single ph drum traveling-resting.WAV",1.04419,1.04419,1.04419,0.0,6,5,5,0,0.101181,0.210457,0.437102,0.101181,0.194268,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,Traveling,Resting,Traveling,NV,NV
52,53,EAC,Budongo,Sonso,HW,14.07.19,"3080 HW single ph drum traveling, 2;00 HW single ph drum traveling-resting, 5;20 HW single ph drum traveling-resting.WAV",0.10118,0.10118,0.10118,0.0,2,1,1,0,0.101181,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Resting,Traveling,NV,NV
53,54,EAC,Budongo,Sonso,HW,14.07.19,"3081 HW single ph drum traveling, 3;15 HW display stomp, FK fg.WAV",0.05977,0.05977,0.05977,0.0,2,1,1,0,0.059771,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Roar before climax,Traveling,Traveling,Traveling,NV,NV
54,55,EAC,Budongo,Sonso,ZD,22.07.19,3105 ZD single ph drum (beh data-traveling).WAV,0.92978,0.92978,0.92978,0.0,4,3,3,0,0.081738,0.747143,0.100897,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV
55,56,EAC,Budongo,Sonso,ZD,22.07.19,"3106 ZD group ph drum (beh data traveling), unk group ph other party, ZD single ph drum (beh data traveling-AFT).WAV",0.93891,0.93891,0.93891,0.0,4,3,3,0,0.10709,0.758765,0.073054,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Roar,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV
